SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
"PRS-Ushers, Lobby Attendants, And Ticket Takers",usher,2075,1205,870,0.419277108,0.580722892
"PRS-Morticians, Undertakers, And Funeral Arrangers",mortician,901,641,260,0.288568257,0.711431743
PRS-Barbers,barber,3013,2483,530,0.175904414,0.824095586
"PRS-Hairdressers, Hairstylists, And Cosmetologists",beautician,22972,2606,20366,0.886557548,0.113442452
PRS-Manicurists and Pedicurists,manicurist,6921,951,5970,0.862592111,0.137407889
PRS-Skincare Specialists,facialist,2109,35,2074,0.983404457,0.016595543
"PRS-Baggage Porters, Bellhops, And Concierges",porter,2167,1507,660,0.304568528,0.695431472
PRS-Tour And Travel Guides,guide,3344,1166,2178,0.651315789,0.348684211
PRS-Childcare Workers,nanny,43624,4142,39482,0.905052265,0.094947735
PRS-Exercise Trainers And Group Fitness Instructors,instructor,10664,3853,6811,0.638690923,0.361309077
SAL-First-Line Supervisors Of Retail Sales Workers,sales,74450,42625,31825,0.427468099,0.572531901
SAL-First-Line Supervisors Of Non-Retail Sales Workers,sales,32235,20729,11506,0.356941213,0.643058787
SAL-Cashiers,cashier,98599,28567,70032,0.710270895,0.289729105
SAL-Counter And Rental Clerks,clerk,3012,1493,1519,0.504316069,0.495683931
SAL-Parts Salespersons,salesperson,1622,1561,61,0.037607891,0.962392109
SAL-Retail Salespersons,salesperson,94307,43925,50382,0.534233938,0.465766062
SAL-Advertising Sales Agents,salesperson,4335,2175,2160,0.498269896,0.501730104
SAL-Insurance Sales Agents,salesperson,10528,6118,4410,0.418882979,0.581117021
"SAL-Securities, Commodities, And Financial Services Sales Agents",sales,9086,6600,2486,0.273607748,0.726392252
SAL-Travel Agents,agent,2627,498,2129,0.810430148,0.189569852
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",sales,22197,15335,6862,0.309140875,0.690859125
"SAL-Sales Representatives, Wholesale And Manufacturing",sales,32915,23754,9161,0.278322953,0.721677047
SAL-Real Estate Brokers And Sales Agents,broker,22213,9497,12716,0.57245757,0.42754243
SAL-Sales Engineers,sales,1750,1627,123,0.070285714,0.929714286
SAL-Telemarketers,telemarketers,926,370,556,0.600431965,0.399568035
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",vendor,2714,1291,1423,0.524318349,0.475681651
"SAL-Sales And Related Workers, All Other",sales,8231,4228,4003,0.486332159,0.513667841
"OFF-Switchboard Operators, Including Answering Service",operator,723,105,618,0.854771784,0.145228216
OFF-Telephone Operators,operator,1056,238,818,0.774621212,0.225378788
"OFF-Communications Equipment Operators, All Other",operator,806,516,290,0.359801489,0.640198511
OFF-Billing And Posting Clerks,clerk,13195,1512,11683,0.885411141,0.114588859
"OFF-Bookkeeping, Accounting, And Auditing Clerks",clerk,29667,5324,24343,0.820541342,0.179458658
OFF-Payroll And Timekeeping Clerks,clerk,4549,579,3970,0.872719279,0.127280721
OFF-Procurement Clerks,clerk,1035,582,453,0.437681159,0.562318841
OFF-Tellers,teller,8836,1690,7146,0.808736985,0.191263015
OFF-Other Financial Clerks,teller,5741,2726,3015,0.525169831,0.474830169
"OFF-Court, Municipal, And License Clerks",clerk,1000,238,762,0.762,0.238
"OFF-Credit Authorizers, Checkers, And Clerks",clerk,745,283,462,0.620134228,0.379865772
OFF-Customer Service Representatives,clerk,73065,25820,47245,0.646616027,0.353383973
"OFF-Eligibility Interviewers, Government Programs",clerk,1310,302,1008,0.769465649,0.230534351
OFF-File Clerks,clerk,6863,1845,5018,0.731167128,0.268832872
"OFF-Hotel, Motel, And Resort Desk Clerks",clerk,2462,870,1592,0.646628757,0.353371243
"OFF-Interviewers, Except Eligibility And Loan",clerk,3172,455,2717,0.856557377,0.143442623
